sl.no,date,price
001,21/10/2022,5216.96
002,22/10/2022,5236.76
003,23/10/2022,5236.76
004,24/10/2022,5209.04
005,25/10/2022,5222.54
006,26/10/2022,5252.56
007,27/10/2022,5230.22
008,28/10/2022,5176.76
009,29/10/2022,5196.78
010,30/10/2022,5196.78
011,31/10/2022,5183.09
012,01/11/2022,5204.16
013,02/11/2022,5208.69
014,03/11/2022,5167.96
015,04/11/2022,5268.71
016,05/11/2022,5299.61
017,06/11/2022,5299.61
018,07/11/2022,5249.15
019,08/11/2022,5346.64
020,09/11/2022,5316.45
021,10/11/2022,5438.20
022,11/11/2022,5420.93
023,12/11/2022,5480.42
024,13/11/2022,5480.42
025,14/11/2022,5499.30
026,15/11/2022,5485.52
027,16/11/2022,5522.03
028,17/11/2022,5496.80
029,18/11/2022,5469.58
030,19/11/2022,5478.79
031,20/11/2022,5478.79
032,21/11/2022,5447.05
033,22/11/2022,5437.95
034,23/11/2022,5454.79
035,24/11/2022,5477.32
036,25/11/2022,5476.14
037,26/11/2022,5486.93
038,27/11/2022,5486.93
039,28/11/2022,5448.62
040,29/11/2022,5467.74
041,30/11/2022,5461.04
042,01/12/2022,5571.30
043,02/12/2022,5557.19
044,03/12/2022,5569.99
045,04/12/2022,5569.99
046,05/12/2022,5516.15
047,06/12/2022,5580.00
048,07/12/2022,5585.00
049,08/12/2022,5600.00
050,09/12/2022,5625.52
051,10/12/2022,5624.19
052,11/12/2022,5624.19
053,12/12/2022,5591.34
054,13/12/2022,5673.19
055,14/12/2022,5660.43
056,15/12/2022,5595.63
057,16/12/2022,5668.47
058,17/12/2022,5683.90
059,18/12/2022,5683.90
060,19/12/2022,5653.09
061,20/12/2022,5742.12
062,21/12/2022,5740.30
063,22/12/2022,5674.65
064,23/12/2022,5696.14
065,24/12/2022,5702.42
066,25/12/2022,5702.42
067,26/12/2022,5690.05
068,27/12/2022,5748.46
069,28/12/2022,5708.53
070,29/12/2022,5740.29
071,30/12/2022,5741.45
072,31/12/2022,5765.37
073,01/01/2023,5765.37
074,02/01/2023,5766.57
075,03/01/2023,5798.79
076,04/01/2023,5847.02
077,05/01/2023,5750.51
078,06/01/2023,5859.15
079,07/01/2023,5881.91
080,08/01/2023,5881.91
081,09/01/2023,5860.45
082,10/01/2023,5835.57
083,11/01/2023,5826.44
084,12/01/2023,5880.38
085,13/01/2023,5919.74
086,14/01/2023,5972.44
087,15/01/2023,5972.44
088,16/01/2023,5958.71
089,17/01/2023,5952.64
090,18/01/2023,5907.60
091,19/01/2023,5904.54
092,20/01/2023,5892.30
093,21/01/2023,5882.51
094,22/01/2023,5882.51
095,23/01/2023,5899.43
096,24/01/2023,5951.46
097,25/01/2023,5955.32
098,26/01/2023,5925.80
099,27/01/2023,5917.86
100,28/01/2023,5933.63
101,29/01/2023,5933.63
102,30/01/2023,5907.62
103,31/01/2023,5954.05
104,01/02/2023,6016.81
105,02/02/2023,6009.67
106,03/02/2023,5848.49
107,04/02/2023,5843.78
108,05/02/2023,5843.78
109,06/02/2023,5905.05
110,07/02/2023,5929.27
111,08/02/2023,5923.63
112,09/02/2023,5913.90
113,10/02/2023,5882.57
114,11/02/2023,5902.91
115,12/02/2023,5902.91
116,13/02/2023,5872.01
117,14/02/2023,5863.90
118,15/02/2023,5825.83
119,16/02/2023,5823.23
120,17/02/2023,5835.33
121,18/02/2023,5847.80
122,19/02/2023,5847.80
123,20/02/2023,5830.12
124,21/02/2023,5815.00
125,22/02/2023,5813.42
126,23/02/2023,5775.30
127,24/02/2023,5748.45
128,25/02/2023,5758.18
129,26/02/2023,5758.18
130,27/02/2023,5771.39
131,28/02/2023,5795.08
132,01/03/2023,5796.68
133,02/03/2023,5787.55
134,03/03/2023,5781.89
135,04/03/2023,5811.58
136,05/03/2023,5811.58
137,06/03/2023,5787.30
138,07/03/2023,5708.16
139,08/03/2023,5704.73
140,09/03/2023,5732.82
141,10/03/2023,5828.62
142,11/03/2023,5847.53
143,12/03/2023,5847.53
144,13/03/2023,5966.31
145,14/03/2023,5974.17
146,15/03/2023,6036.88
147,16/03/2023,6053.58
148,17/03/2023,6179.96
149,18/03/2023,6241.58
150,19/03/2023,6241.58
151,20/03/2023,6211.82
152,21/03/2023,6102.62
153,22/03/2023,6126.21
154,23/03/2023,6230.67
155,24/03/2023,6210.69
156,25/03/2023,6206.23
157,26/03/2023,6206.23
158,27/03/2023,6125.53
159,28/03/2023,6168.17
160,29/03/2023,6160.00
161,30/03/2023,6197.87
162,31/03/2023,6134.20
163,01/04/2023,6185.05
164,02/04/2023,6184.72
165,03/04/2023,6230.48
